sat,rank,satobs,mlhs,mcol,flhs,fcol,black,hisp,asian,female,rdsc,vocab,pict,lgsc,matsc,mosaic,nsib
0,93,0,0,1,0,1,0,0,0,1,56,55,49,50,44,53,1
0,92,0,0,0,0,0,0,0,0,1,61,60,61,52,65,62,3
0,12,0,1,0,1,0,0,0,0,1,39,48,43,45,38,40,2
0,70,0,0,0,0,0,0,0,0,0,46,43,43,50,47,48,3
0,34,0,1,0,0,1,0,1,0,1,45,48,58,38,29,51,3
0,82,0,0,1,0,0,0,0,0,1,66,72,49,65,56,52,2
0,80,0,1,0,0,0,0,0,0,1,42,57,55,56,56,47,6
0,42,0,0,0,1,0,0,0,0,0,54,42,55,59,58,60,3
0,61,0,0,1,0,1,0,0,0,1,59,48,55,57,55,54,3
0,83,0,0,1,0,1,0,0,0,1,44,57,53,62,64,61,3
0,64,0,1,0,1,0,0,0,0,1,49,36,48,48,39,43,6
0,35,0,1,0,1,0,0,0,0,1,42,49,45,61,55,49,6
1040,59,1,1,0,1,0,0,0,0,0,59,51,57,55,65,57,1
0,9,0,1,0,1,0,0,0,0,0,34,42,34,51,44,42,3
0,74,0,0,0,0,1,0,0,0,0,43,50,34,48,49,39,3
0,85,0,0,0,1,0,0,1,0,0,51,42,52,42,42,54,12
990,51,1,0,0,1,0,0,0,0,1,68,63,66,64,59,60,2
1010,88,1,0,1,0,0,0,0,0,1,66,52,61,54,60,53,0
0,58,0,1,0,1,0,1,0,0,0,57,54,41,53,38,50,3
0,91,0,0,0,0,1,0,0,0,0,61,63,56,53,56,52,2
0,89,0,1,0,1,0,1,0,0,1,59,60,66,59,42,50,8
